order_book_id,date,open,volume,close,low,total_turnover,prev_close,high
399976.XSHE,2014-10-31,1677.686,1046247619.0,1670.316,1655.717,14155746885.0,1663.5510000000006,1682.39
399976.XSHE,2014-11-03,1672.443,964407656.0,1680.0,1669.924,12948558014.0,1670.316,1680.2820000000006
399976.XSHE,2014-11-10,1651.7520000000006,744780276.0,1660.821,1644.717,10515000466.0,1680.0,1660.821
399976.XSHE,2014-11-11,1661.784,1072616901.0,1612.119,1602.364,14884306015.0,1660.821,1662.285
399976.XSHE,2014-11-12,1608.46,627377927.0,1625.1129999999994,1604.879,8922257682.0,1612.119,1625.1129999999994
399976.XSHE,2014-11-13,1623.384,812256645.0,1609.831,1590.776,11485366886.0,1625.1129999999994,1623.384
399976.XSHE,2014-11-28,1684.7065,1284325842.0,1669.1228,1659.2648,17433478205.0,1609.831,1684.7065
399976.XSHE,2014-12-01,1669.6178,1059753921.0,1649.5364,1642.346,14224218453.0,1669.1228,1669.6178
399976.XSHE,2014-12-02,1649.2206,1104875120.0,1668.6512,1646.7301,15138307483.0,1649.5364,1670.4403
399976.XSHE,2014-12-03,1668.5828,1714238334.0,1702.6376,1660.1147,24131660000.0,1668.6512,1702.6376
399976.XSHE,2014-12-04,1705.8629,1547060640.0,1716.3952,1702.5145,22037441992.0,1702.6376,1716.9039
399976.XSHE,2014-12-05,1718.0954,1614535822.0,1671.4053,1638.9896,22006037639.0,1716.3952,1718.6016
399976.XSHE,2014-12-08,1662.2651,1479589753.0,1676.9416,1647.1983,20798570203.0,1671.4053,1685.6074
399976.XSHE,2014-12-09,1674.1881,1893801636.0,1629.0615,1625.3815,26493776172.0,1676.9416,1693.1322
399976.XSHE,2014-12-10,1630.7093,1369270953.0,1683.4967,1626.4808,19404189681.0,1629.0615,1683.5116
399976.XSHE,2014-12-11,1684.6415,1461761848.0,1697.8835,1676.194,19814957362.0,1683.4967,1701.8111
399976.XSHE,2014-12-12,1699.9527,1337229906.0,1719.9499,1696.4104,19225386808.0,1697.8835,1722.7933
399976.XSHE,2014-12-15,1713.5068,1398880643.0,1732.6832,1708.6915,19427977366.0,1719.9499,1734.3429999999994
399976.XSHE,2014-12-16,1728.1644,1115729243.0,1720.0826,1712.1573,15476999582.0,1732.6832,1731.1414
399976.XSHE,2014-12-17,1714.3433,1310681116.0,1692.5065,1677.7344,17853973736.0,1720.0826,1714.3433
399976.XSHE,2014-12-18,1688.0333,1056621339.0,1681.2061,1681.115,17452286852.0,1692.5065,1707.9448
399976.XSHE,2014-12-19,1676.0524,1352842196.0,1645.1216,1627.9225,20723570387.0,1681.2061,1678.8377
399976.XSHE,2014-12-22,1640.5482,1394694384.0,1574.1784,1567.9109,19424462800.0,1645.1216,1640.5482
399976.XSHE,2014-12-23,1565.4517,867623006.0,1542.1434,1540.8272,12255017423.0,1574.1784,1581.8775
399976.XSHE,2014-12-24,1545.4269,821824903.0,1567.4419,1541.8419,11419342161.0,1542.1434,1567.4505
399976.XSHE,2014-12-25,1571.5797,916760354.0,1584.9466,1570.2396,13189375504.0,1567.4419,1584.9466
399976.XSHE,2014-12-26,1584.1741,895484546.0,1588.6187,1576.9802,12573132852.0,1584.9466,1589.2674
399976.XSHE,2014-12-29,1589.9117,1178002400.0,1552.3348,1544.2743,16100751873.0,1588.6187,1590.7083
399976.XSHE,2014-12-30,1556.1263,929993810.0,1525.4282,1523.1661,12856840153.0,1552.3348,1558.3567
399976.XSHE,2014-12-31,1528.3663,801927148.0,1541.6022,1521.3969,11071508721.0,1525.4282,1542.1229999999994
399976.XSHE,2015-01-05,1546.329,1205116545.0,1585.7193,1539.7176,17191199483.0,1541.6022,1588.1668
399976.XSHE,2015-01-06,1578.2148,1350316652.0,1611.5112,1566.6704,19943610095.0,1585.7193,1614.6189
399976.XSHE,2015-01-07,1613.6338,941900239.0,1604.5651,1596.1494,13861658871.0,1611.5112,1617.9714
399976.XSHE,2015-01-08,1602.8682,832147865.0,1593.6035,1585.9962,11686702531.0,1604.5651,1605.9003
399976.XSHE,2015-01-09,1591.5449,818926440.0,1583.74,1583.7349,12383043087.0,1593.6035,1609.7385
399976.XSHE,2015-01-12,1577.8007,906938832.0,1589.1656,1573.8008,13542012772.0,1583.74,1598.9259
399976.XSHE,2015-01-13,1588.5699,871639078.0,1625.52,1587.6495,14374788498.0,1589.1656,1626.9254
399976.XSHE,2015-01-14,1624.6389,758709181.0,1616.0325,1610.1989,12269458599.0,1625.52,1630.6932
399976.XSHE,2015-01-15,1614.6879999999999,655758886.0,1621.0195,1610.4417,10440668226.0,1616.0325,1623.6621
399976.XSHE,2015-01-16,1622.0929,944445751.0,1644.4354,1622.0695,14584934120.0,1621.0195,1644.7593
399976.XSHE,2015-01-19,1608.7999,1145005289.0,1582.0319,1562.2185,17769490050.0,1644.4354,1644.8006
399976.XSHE,2015-01-20,1587.674,945935367.0,1637.2063,1587.674,15395471786.0,1582.0319,1637.2063
399976.XSHE,2015-01-21,1643.802,1120201488.0,1666.8829,1641.2895,17810429563.0,1637.2063,1669.9857
399976.XSHE,2015-01-22,1669.5533,1282688683.0,1699.0424,1669.3017,19424445614.0,1666.8829,1702.325
399976.XSHE,2015-01-23,1701.4432,1273902976.0,1681.1328,1674.7759,18380632519.0,1699.0424,1706.4526
399976.XSHE,2015-01-26,1684.8805,1311124039.0,1717.5465,1684.8805,18777906219.0,1681.1328,1717.6625
399976.XSHE,2015-01-27,1722.9389,1278475026.0,1728.6118,1699.6628,18502295169.0,1717.5465,1731.896
399976.XSHE,2015-01-28,1722.3514,1153046272.0,1723.5517,1718.029,17225038096.0,1728.6118,1742.2863
399976.XSHE,2015-01-29,1712.6994,835021598.0,1710.1826,1700.0554,12084438918.0,1723.5517,1719.9641
399976.XSHE,2015-01-30,1713.655,757789693.0,1685.0729999999999,1684.9435,11568575230.0,1710.1826,1720.4531
399976.XSHE,2015-02-02,1671.3979,697459596.0,1676.0176,1661.1554,10125791779.0,1685.0729999999999,1686.5076
399976.XSHE,2015-02-03,1684.6755,751511438.0,1702.1556,1684.6755,11076134377.0,1676.0176,1703.3649
399976.XSHE,2015-02-04,1707.5127,920253520.0,1704.3099,1702.1104,13698872551.0,1702.1556,1718.5379
399976.XSHE,2015-02-05,1718.0389,909412605.0,1688.1375,1687.7154,13825292473.0,1704.3099,1719.1921
399976.XSHE,2015-02-06,1685.3551,718440101.0,1652.8666,1644.3154,10445965955.0,1688.1375,1688.7134
399976.XSHE,2015-02-09,1652.2668,597500944.0,1646.8922,1645.6679,8825367842.0,1652.8666,1665.3816
399976.XSHE,2015-02-10,1648.7973,541116156.0,1670.7394,1648.5810000000001,8184870665.0,1646.8922,1670.7456
399976.XSHE,2015-02-11,1671.7747,644054479.0,1687.7545,1671.7747,9765715346.0,1670.7394,1692.652
399976.XSHE,2015-02-12,1689.7293,662161386.0,1702.8584,1686.8547,9882931902.0,1687.7545,1706.3223
399976.XSHE,2015-02-13,1710.1731,1048621587.0,1738.2928,1710.1567,16483569291.0,1702.8584,1746.9183
399976.XSHE,2015-02-16,1744.8566,1349926166.0,1808.2138,1744.8566,21927157206.0,1738.2928,1808.2329
399976.XSHE,2015-02-17,1825.5697,1411457259.0,1840.7909,1825.5697,23681026271.0,1808.2138,1851.3742
399976.XSHE,2015-02-25,1850.0727,1143992348.0,1825.0044,1818.7923,20246827727.0,1840.7909,1852.702
399976.XSHE,2015-02-26,1822.9974,1108941939.0,1834.7391,1815.8559,18781419777.0,1825.0044,1834.9358
399976.XSHE,2015-02-27,1833.1535,1209115343.0,1849.2713,1833.1535,20158887405.0,1834.7391,1853.5826
399976.XSHE,2015-03-02,1867.6591,1685318831.0,1889.8388,1866.8565,27382046650.0,1849.2713,1892.1291
