order_book_id,date,prev_close,low,volume,close,high,total_turnover,open
000941.XSHG,2015-04-13,2121.481,2119.478,1424727900.0,2161.583,2170.496,31110413559.0,2130.376
000941.XSHG,2015-04-14,2161.583,2148.638,2188584700.0,2174.342,2196.84,42293008687.0,2174.986
000941.XSHG,2015-04-15,2174.342,2059.273,1880405800.0,2064.529,2163.174,36740846934.0,2163.174
000941.XSHG,2015-04-16,2064.529,2035.71,1587805000.0,2111.085,2127.528,30426495683.0,2047.142
000941.XSHG,2015-04-17,2111.085,2123.282,1793494000.0,2145.636,2158.231,37968745317.0,2143.189
000941.XSHG,2015-04-20,2145.636,2113.894,3022417600.0,2153.023,2204.836,58667352541.0,2146.985
000941.XSHG,2015-04-21,2153.023,2139.439,2124673000.0,2198.131,2199.509,40436899766.0,2159.213
000941.XSHG,2015-04-22,2198.131,2233.137,1890946600.0,2264.831,2273.583,40538150694.0,2233.137
000941.XSHG,2015-04-23,2264.831,2273.635,2447826600.0,2300.724,2313.363,52980932174.0,2297.44
000941.XSHG,2015-04-24,2300.724,2257.294,2062594100.0,2308.631,2334.814,43873355523.0,2278.237
000941.XSHG,2015-04-27,2308.631,2293.424,2173243000.0,2324.914,2356.23,44458763422.0,2338.1420000000007
000941.XSHG,2015-04-28,2324.914,2219.428,1827161200.0,2232.666,2321.7270000000008,38198103512.0,2318.544
000941.XSHG,2015-04-29,2232.666,2206.061,1500340500.0,2261.853,2272.032,30192440549.0,2216.944
000941.XSHG,2015-04-30,2261.853,2262.569,1480250300.0,2263.681,2292.521,30847825597.0,2263.802
000941.XSHG,2015-05-04,2263.681,2247.181,1552938400.0,2310.335,2311.048,32010980489.0,2266.889
000941.XSHG,2015-05-05,2310.335,2209.133,1523093800.0,2216.615,2310.896,29935800606.0,2310.896
000941.XSHG,2015-05-06,2216.615,2165.758,1529881100.0,2192.812,2266.769,29774212770.0,2229.155
000941.XSHG,2015-05-07,2192.812,2136.261,1305354400.0,2137.114,2199.969,24794933500.0,2187.575
000941.XSHG,2015-05-08,2137.114,2146.319,1278900800.0,2206.633,2206.995,24205669196.0,2154.581
000941.XSHG,2015-05-11,2206.633,2214.309,1746185900.0,2311.908,2314.308,34840777968.0,2228.001
000941.XSHG,2015-05-12,2311.908,2327.347,2030942800.0,2375.027,2380.299,43845222890.0,2333.473
