order_book_id,date,high,prev_close,volume,open,low,close,total_turnover
399808.XSHE,2018-05-23,1728.9481,1730.9395,1009099871.0,1728.9481,1709.2798,1709.2798,14226443484.0
399808.XSHE,2018-05-24,1713.231,1709.2798,880199938.0,1710.9001,1694.6243,1697.2513,13859064838.0
399808.XSHE,2018-05-25,1694.2729,1697.2513,991178449.0,1692.5839,1668.4105,1674.0199,14438490974.0
399808.XSHE,2018-05-28,1680.6995,1674.0199,884695600.0,1674.6072,1659.866,1662.7534,12750019052.0
399808.XSHE,2018-05-29,1669.0039,1662.7534,823039578.0,1659.9415,1649.5957,1650.3682,11866772445.0
399808.XSHE,2018-05-30,1626.5368,1650.3682,1093747319.0,1626.5368,1599.3337,1601.8417,14753157134.0
399808.XSHE,2018-05-31,1620.2853,1601.8417,828907824.0,1613.1365,1599.2179,1613.868,10917884402.0
399808.XSHE,2018-06-01,1609.4211,1613.868,943318562.0,1609.3734,1581.1272,1590.6319,11864799615.0
399808.XSHE,2018-06-04,1570.6017,1590.6319,915725706.0,1566.1389,1544.0145,1546.3491,11312871748.0
399808.XSHE,2018-06-05,1565.1556,1546.3491,960485712.0,1532.6504,1532.3065,1565.089,12933343479.0
399808.XSHE,2018-06-06,1568.095,1565.089,1237818397.0,1557.7089999999994,1553.1242,1561.2262,16483308957.0
399808.XSHE,2018-06-07,1569.8944,1561.2262,890197071.0,1565.4959,1558.3677,1559.0237,11854821768.0
399808.XSHE,2018-06-08,1558.7998,1559.0237,922991851.0,1558.6004,1533.2341,1542.0534,11100017128.0
399808.XSHE,2018-06-11,1546.5269,1542.0534,874627173.0,1540.8481,1523.0654,1530.8344,11049460093.0
399808.XSHE,2018-06-12,1539.4820000000002,1530.8344,904402311.0,1534.9449,1514.874,1536.5531,11433023768.0
399808.XSHE,2018-06-13,1531.9657,1536.5531,825525239.0,1531.5857,1512.4818,1514.0115,10288518075.0
399808.XSHE,2018-06-14,1519.6285,1514.0115,791782089.0,1509.1401,1502.11,1506.1282,9497179758.0
399808.XSHE,2018-06-15,1505.3013,1506.1282,917468203.0,1502.3832,1475.1903,1483.3428,10787808009.0
399808.XSHE,2018-06-19,1461.0817,1483.3428,1413791560.0,1460.1461,1384.1418,1399.9928,15569890505.0
399808.XSHE,2018-06-20,1419.1045,1399.9928,1073729616.0,1386.0081,1382.0777,1408.6484,12736671050.0
399808.XSHE,2018-06-21,1416.9911,1408.6484,1034835397.0,1409.5907,1374.5253,1375.6782,11672512564.0
399808.XSHE,2018-06-22,1408.1927,1375.6782,1043471996.0,1367.5804,1359.8526,1404.3841,12813702935.0
399808.XSHE,2018-06-25,1422.9663,1404.3841,998507654.0,1418.0906,1399.1863,1399.7189,12941278038.0
399808.XSHE,2018-06-26,1409.3207,1399.7189,983770519.0,1381.8514,1376.5436,1405.6512,12062334641.0
399808.XSHE,2018-06-27,1414.3429999999994,1405.6512,986624227.0,1406.9382,1390.2365,1396.4727,10842319466.0
399808.XSHE,2018-06-28,1407.6696,1396.4727,954906718.0,1393.3926,1378.5512,1384.3852,11168226040.0
399808.XSHE,2018-06-29,1416.3678,1384.3852,1099845644.0,1384.6852,1373.8783,1414.759,12781075806.0
399808.XSHE,2018-07-02,1415.3055,1414.759,1116223091.0,1412.6843,1375.0495,1384.9056,12069869404.0
399808.XSHE,2018-07-03,1392.7881,1384.9056,1079511484.0,1385.7217,1351.4402,1390.4903,12598921443.0
399808.XSHE,2018-07-04,1385.8603,1390.4903,923304845.0,1383.6970000000001,1360.8008,1366.6201,10142654441.0
399808.XSHE,2018-07-05,1372.4444,1366.6201,1074442628.0,1363.8379,1337.6246,1338.9482,11566307915.0
399808.XSHE,2018-07-06,1366.3013,1338.9482,1105454735.0,1339.8072,1318.7995,1348.3778,12825691747.0
399808.XSHE,2018-07-09,1373.8358,1348.3778,1010974808.0,1352.6675,1352.6675,1373.6307,12011206016.0
399808.XSHE,2018-07-10,1384.1244,1373.6307,1019889319.0,1380.4093,1367.2309,1379.0762,11808246488.0
399808.XSHE,2018-07-11,1371.4297,1379.0762,1110088892.0,1361.683,1342.8776,1361.1453,13359476259.0
399808.XSHE,2018-07-12,1396.5464,1361.1453,1249640041.0,1361.3175,1361.1993,1392.7106,15189576075.0
